IRIS,Taux de pauvreté,Nom IRIS,Commune,geometry
381850206,13.4,Saint-Andre,Grenoble,"POLYGON ((5.729869921770979 45.19370283733885, 5.729955088468837 45.19359444171539, 5.729948977660922 45.19352161366622, 5.731280347727013 45.192789003114996, 5.731461198402585 45.19278728088409, 5.7314567197839095 45.19277387611504, 5.730465643515749 45.19069528989823, 5.730485404537377 45.19050019996298, 5.729178692994765 45.19053756191862, 5.729016898167808 45.19056404150992, 5.72819547750846 45.19085891207432, 5.72577763640868 45.19295593892805, 5.72575578495696 45.193004223105376, 5.725766142147887 45.1930075740244, 5.727021467248432 45.193299456565846, 5.728622240888091 45.193672076636126, 5.728916637728059 45.193751372038385, 5.728978782862083 45.19377147578255, 5.729083894899088 45.19381035011589, 5.729155829098189 45.19384823357637, 5.729505936148153 45.19405049746501, 5.729688697913344 45.19387935162762, 5.729869921770979 45.19370283733885))"
381850207,30.9,Notre Dame,Grenoble,"POLYGON ((5.734067505308837 45.1910305764733, 5.733912657505986 45.19091273979263, 5.733832779588654 45.19086874728213, 5.732207529406319 45.190073352614355, 5.731441706211546 45.1897073865555, 5.731405368922956 45.18969386042801, 5.731114926132001 45.19005954780331, 5.730478584918446 45.190386846291666, 5.730485404537377 45.19050019996298, 5.730465643515749 45.19069528989823, 5.7314567197839095 45.19277387611504, 5.731461198402585 45.19278728088409, 5.731485564317745 45.19284254401186, 5.7315374050428884 45.19291245111072, 5.731747525480821 45.1931442610902, 5.732356251632772 45.193787962997696, 5.732480867958884 45.1939128487329, 5.732564739209455 45.193257601386094, 5.7339410357269625 45.193260842131, 5.735067643817928 45.19279718060621, 5.734852662795524 45.19210240307103, 5.734813368759352 45.19202858622105, 5.7341745612255535 45.19113516826272, 5.734067505308837 45.1910305764733))"
381850208,,Trois Cours,Grenoble,"POLYGON ((5.741335807503772 45.192027168185184, 5.741333080665102 45.19163441623102, 5.741206426925514 45.19162401212089, 5.738353456751939 45.19115436105948, 5.736496140075129 45.191422445306834, 5.7349267040221195 45.191949228053694, 5.73487673037885 45.19199550033703, 5.734813368759352 45.19202858622105, 5.734852662795524 45.19210240307103, 5.735067643817928 45.19279718060621, 5.7339410357269625 45.193260842131, 5.732564739209455 45.193257601386094, 5.732480867958884 45.1939128487329, 5.7325213108183375 45.19403619094812, 5.732600585522975 45.19411984142346, 5.732729985488076 45.194238303118894, 5.733475427593508 45.19481108094866, 5.73470953123875 45.19578632565994, 5.734806629986106 45.19586953810833, 5.734918233694146 45.1958586953828, 5.737443549717328 45.19390478394139, 5.738969508887898 45.193036668260454, 5.741335807503772 45.192027168185184))"
381850209,12.0,Ile Verte-Saint Roch,Grenoble,"POLYGON ((5.741226936003794 45.200732230767514, 5.741295430128957 45.20067378835563, 5.741363968318 45.20061624577957, 5.7413811249469635 45.20060231006764, 5.741421492910755 45.2005679832241, 5.7419148839703915 45.20010538554265, 5.7422761401120015 45.19959918118044, 5.742582438029749 45.199089820850894, 5.742708303302905 45.198824548595816, 5.7431316662190435 45.197793356027326, 5.743195504206223 45.1975106870417, 5.7432452868943855 45.19720133452048, 5.743262468035354 45.196799083000755, 5.743162303843374 45.196083477214074, 5.743081824936175 45.195768316014245, 5.74290412845992 45.19531589439345, 5.742612088287934 45.19468879237859, 5.742327886925082 45.19411735690452, 5.742168543885044 45.19377890579875, 5.741981510320636 45.193317702996666, 5.741923545663572 45.19309749028859, 5.7417944276691895 45.1924663850217, 5.741789296932276 45.192232261153514, 5.7419082857394 45.19167164359074, 5.74153789557047 45.19165371212501, 5.741333080665102 45.19163441623102, 5.741335807503772 45.192027168185184, 5.738969508887898 45.193036668260454, 5.737443549717328 45.19390478394139, 5.734918233694146 45.1958586953828, 5.734806629986106 45.19586953810833, 5.734704192188786 45.19604142785191, 5.734206344300884 45.19669960993032, 5.734003769243887 45.196960443547034, 5.733761819109964 45.197197915089774, 5.733763532695808 45.197206882716856, 5.7338173086975415 45.19726412817825, 5.733937433681472 45.19727109701053, 5.738571691087871 45.198588236726394, 5.74118461371392 45.20070083525489, 5.741214738048665 45.20074334181604, 5.741226936003794 45.200732230767514))"
381850210,10.1,Ile Verte-Maréchal Randon,Grenoble,"POLYGON ((5.738571691087871 45.198588236726394, 5.733937433681472 45.19727109701053, 5.7338173086975415 45.19726412817825, 5.7337700456233875 45.19728780953162, 5.733740777583794 45.1973146540469, 5.73373213829999 45.197346399163514, 5.733737813643307 45.19741022827246, 5.734198990224963 45.19915039911906, 5.734342394509369 45.19960637630918, 5.734396499810601 45.199748303735014, 5.734527489875258 45.2000288977175, 5.734565075360832 45.20009374717822, 5.734718707486197 45.20034225281342, 5.734814641751426 45.20047955165466, 5.734905611278537 45.200593547087585, 5.735146316678931 45.200798475043456, 5.735186178168406 45.20083173497089, 5.735125887935317 45.20090168497685, 5.734646056226571 45.20143419396211, 5.7348942272580485 45.201271347943894, 5.735522863378617 45.201694714726, 5.735877037799508 45.20190046494741, 5.7361843629366405 45.20203438445516, 5.736402442076511 45.2021155319342, 5.7366900005095145 45.202184164425816, 5.736949983481862 45.20221022605298, 5.73727391233609 45.20221489818416, 5.737685095843045 45.2022057173601, 5.7380579528241284 45.202168644179636, 5.739103272002131 45.201941188232524, 5.739351280274415 45.201853115870755, 5.739697309047282 45.201659027010436, 5.740745333854294 45.20104587699332, 5.741082133446143 45.200845703462704, 5.741182881888212 45.20076935092906, 5.741214738048665 45.20074334181604, 5.74118461371392 45.20070083525489, 5.738571691087871 45.198588236726394))"
381850211,11.7,Génissieu,Grenoble,"POLYGON ((5.718938046637903 45.18804407347415, 5.719097248726507 45.188042898235345, 5.7192538179975 45.18803998500657, 5.72163144876246 45.18788743657233, 5.723090018797795 45.1877779844907, 5.72338463711873 45.18775818319686, 5.723573458359357 45.18776348650122, 5.7235793381223425 45.18775343254881, 5.724116981079483 45.186943869889795, 5.724684621753665 45.18612276069513, 5.724040760888782 45.185878100883876, 5.722940247214518 45.18546528933381, 5.722324616242533 45.18525056370366, 5.722174857074959 45.18536683528438, 5.722162395370953 45.185372544924185, 5.722035145416425 45.185427903549524, 5.721550189714957 45.18548928181349, 5.720486504223732 45.18562242617738, 5.718505678002428 45.185863492200106, 5.718299793461987 45.18587391221781, 5.718218264817325 45.18587409584019, 5.718141782413406 45.18587325556338, 5.718180477036852 45.185987634904606, 5.718766004236198 45.18772932739655, 5.718873014333088 45.18804295471337, 5.718938046637903 45.18804407347415))"
381850212,9.9,Préfecture,Grenoble,"POLYGON ((5.73493543920789 45.186563088455976, 5.734711980147311 45.18647486408926, 5.732136016498047 45.1854369796302, 5.731969745373857 45.18537167594306, 5.731793558923186 45.185312020434196, 5.731326967264253 45.18543605886952, 5.729980529456318 45.185752800334896, 5.729008885900806 45.185970266646805, 5.728847544167124 45.1860057447563, 5.728785492424198 45.185961313126654, 5.728730375230554 45.185928424343274, 5.7268068447606755 45.18528169890534, 5.725536334426029 45.184857749598635, 5.724978459880697 45.18566961554857, 5.724684621753665 45.18612276069513, 5.724116981079483 45.186943869889795, 5.7235793381223425 45.18775343254881, 5.723573458359357 45.18776348650122, 5.723709404977633 45.18783404739947, 5.724826142883596 45.187873462040585, 5.7256946896253 45.18791802557372, 5.72639850625577 45.18795489376296, 5.726542749411556 45.18801263530486, 5.727579134374333 45.18836301275515, 5.730824194842869 45.18948194018045, 5.731405368922956 45.18969386042801, 5.7317182300005145 45.18931771307458, 5.734455702625883 45.18717307788878, 5.73493543920789 45.186563088455976))"
381850213,11.6,Hebert-Mutualite,Grenoble,"POLYGON ((5.740657974290287 45.18881026587815, 5.740563220902577 45.188774752025765, 5.7384942928795555 45.187974123740176, 5.735245966075998 45.18668611802628, 5.73493543920789 45.186563088455976, 5.734455702625883 45.18717307788878, 5.7317182300005145 45.18931771307458, 5.731405368922956 45.18969386042801, 5.731441706211546 45.1897073865555, 5.732207529406319 45.190073352614355, 5.733832779588654 45.19086874728213, 5.733912657505986 45.19091273979263, 5.734067505308837 45.1910305764733, 5.7341745612255535 45.19113516826272, 5.734813368759352 45.19202858622105, 5.73487673037885 45.19199550033703, 5.7349267040221195 45.191949228053694, 5.736496140075129 45.191422445306834, 5.738353456751939 45.19115436105948, 5.741206426925514 45.19162401212089, 5.741333080665102 45.19163441623102, 5.74153789557047 45.19165371212501, 5.7419082857394 45.19167164359074, 5.741931066995827 45.19156477060708, 5.742047529944828 45.191186209067766, 5.742283003900043 45.19068849975829, 5.742503157136226 45.19042361425679, 5.74271015968222 45.19020229754277, 5.7428109455936855 45.19004936058305, 5.742801364239227 45.19000995372986, 5.742310149674631 45.18968506340259, 5.741639823185439 45.1892672668093, 5.741515347828277 45.18919734629562, 5.741381964744892 45.189127644422605, 5.741166907116161 45.18902931552247, 5.741022248480295 45.188963493985085, 5.740676143765439 45.18881702743658, 5.740657974290287 45.18881026587815))"
381850214,12.4,Aigle,Grenoble,"POLYGON ((5.717638719059887 45.184437678484116, 5.717667452752608 45.18453067765176, 5.717710366745357 45.18452242513191, 5.720645639417738 45.18423468619171, 5.721409481120911 45.18346557184947, 5.721944613335689 45.182683109949785, 5.722240605719602 45.18224793894773, 5.722373813967535 45.182053688098094, 5.722693799577755 45.18158819914162, 5.722702135896392 45.18157628340611, 5.7224745048853585 45.18155841158537, 5.719077855867441 45.181603375546416, 5.718705129333137 45.18153587487676, 5.718419234684578 45.181472564701025, 5.716917619899387 45.181374888030206, 5.71664238194145 45.18139960695247, 5.716653432352225 45.181469611993826, 5.716779364217822 45.18188458696849, 5.717096123851206 45.18276521196427, 5.717160738511098 45.18296725350992, 5.71725132416398 45.183231729227536, 5.717503035350581 45.18400582333294, 5.717638719059887 45.184437678484116))"
381850215,11.9,Championnet,Grenoble,"POLYGON ((5.722940247214518 45.18546528933381, 5.724040760888782 45.185878100883876, 5.724684621753665 45.18612276069513, 5.724978459880697 45.18566961554857, 5.725536334426029 45.184857749598635, 5.72580572202311 45.184452048707705, 5.725943397783267 45.184245070877786, 5.726411831435479 45.18355881515565, 5.726901355169863 45.18283510292621, 5.727051041378515 45.182587287262855, 5.72695025275443 45.18255821651628, 5.726088090419904 45.182303586847965, 5.725034673823125 45.18199325676375, 5.724076617778575 45.181809425693, 5.723334660716121 45.18166806417147, 5.722702135896392 45.18157628340611, 5.722693799577755 45.18158819914162, 5.722373813967535 45.182053688098094, 5.722240605719602 45.18224793894773, 5.721944613335689 45.182683109949785, 5.721409481120911 45.18346557184947, 5.720645639417738 45.18423468619171, 5.717710366745357 45.18452242513191, 5.717667452752608 45.18453067765176, 5.717697371401963 45.184621846063465, 5.717848636621313 45.185033500792706, 5.718026312963766 45.18554271584285, 5.718141782413406 45.18587325556338, 5.718218264817325 45.18587409584019, 5.718299793461987 45.18587391221781, 5.718505678002428 45.185863492200106, 5.720486504223732 45.18562242617738, 5.721550189714957 45.18548928181349, 5.722035145416425 45.185427903549524, 5.722162395370953 45.185372544924185, 5.722174857074959 45.18536683528438, 5.722324616242533 45.18525056370366, 5.722940247214518 45.18546528933381))"
381850216,23.8,Hoche,Grenoble,"POLYGON ((5.728310928069368 45.18256009995231, 5.727333961437512 45.18214611452065, 5.727253268470573 45.182111147273524, 5.727125083865129 45.18235573499135, 5.7270519986569886 45.182502574261854, 5.727051041378515 45.182587287262855, 5.726901355169863 45.18283510292621, 5.726411831435479 45.18355881515565, 5.725943397783267 45.184245070877786, 5.72580572202311 45.184452048707705, 5.725536334426029 45.184857749598635, 5.7268068447606755 45.18528169890534, 5.728730375230554 45.185928424343274, 5.728785492424198 45.185961313126654, 5.728847544167124 45.1860057447563, 5.729008885900806 45.185970266646805, 5.729980529456318 45.185752800334896, 5.731326967264253 45.18543605886952, 5.731793558923186 45.185312020434196, 5.731792972315148 45.18522193921864, 5.731761831888822 45.18505422267207, 5.7315410284099855 45.18403073548163, 5.731490948224833 45.18394456844275, 5.731390498099542 45.18387044553021, 5.73115314201291 45.18375822879775, 5.73100859689034 45.1836941941219, 5.730458633777489 45.18344186810164, 5.729377948223433 45.18299169603278, 5.728310928069368 45.18256009995231))"
381850301,12.4,Drac-Ampere,Grenoble,"POLYGON ((5.705635201348825 45.18378060703983, 5.705586558556531 45.18296102526101, 5.705534166276793 45.18206405328881, 5.705527036189595 45.18183808900212, 5.7061918628572466 45.181808456606376, 5.706826674162731 45.18179035954242, 5.706825138223213 45.18162732571335, 5.706785438914954 45.18093996648301, 5.705378053857051 45.17936860803498, 5.705375249842352 45.17920560511878, 5.705368564535775 45.17896251227301, 5.705325360418632 45.1781761345506, 5.705286374684217 45.17737163584903, 5.705277173516992 45.177181759776694, 5.705195514087685 45.175890885328634, 5.705111119261045 45.17451719083684, 5.705057814579349 45.173495912739604, 5.705037373752362 45.17304773873619, 5.705022704064922 45.172666094641386, 5.705017408421127 45.172477926003715, 5.704786300730125 45.172492537401936, 5.703893194862049 45.172540308801246, 5.702537182038223 45.172576761308754, 5.701974259620836 45.17255165249446, 5.700742293985806 45.172624720897694, 5.700972941508401 45.1737327017364, 5.701133730360571 45.17573971143449, 5.7008728362447885 45.177350603307936, 5.700841007361781 45.177640575989415, 5.700869038683986 45.17858858966585, 5.700990050757767 45.17998392363665, 5.70115567928271 45.17998441978903, 5.701194543129855 45.18012943187653, 5.701335965902227 45.18297298884089, 5.701341685621433 45.18317015699387, 5.701361298692124 45.18389133797944, 5.701393117251768 45.18507530874682, 5.701405790608782 45.18533717665651, 5.7014722989412485 45.18657977055992, 5.701543315365939 45.18786279822874, 5.701551295494521 45.188001350521986, 5.7016139807536295 45.18903321671463, 5.7016257166190805 45.189223031993265, 5.702664290507216 45.18906905528128, 5.703339437765568 45.189013965587186, 5.704819611966716 45.18892855602528, 5.705874598225508 45.18887685928795, 5.705901963096138 45.18878429940309, 5.705877184502877 45.18811549705773, 5.705848820785069 45.187556697141055, 5.705820814085212 45.18697896878283, 5.705792530060873 45.186605761916894, 5.70575522414113 45.18602015060995, 5.705680231134098 45.184657036123994, 5.7056614672959896 45.184296211919374, 5.705635201348825 45.18378060703983))"
381850302,19.8,Clinique Mutualiste,Grenoble,"POLYGON ((5.707502901103173 45.18178566929231, 5.707740845187833 45.181779896752246, 5.708300669768681 45.18176541241842, 5.710371830312528 45.181707926469414, 5.711345186467404 45.18170951101047, 5.711229183542571 45.181209600713316, 5.711244773213513 45.18113714625235, 5.710238109147776 45.18100032701997, 5.7096812096231595 45.180917448061685, 5.708605631323389 45.18075165529699, 5.70809288350416 45.17974062419726, 5.7079297535968605 45.17939771855397, 5.707665681424384 45.178838332191866, 5.7068532689669675 45.17897606350459, 5.706525159073508 45.17903987968452, 5.705723355991342 45.17918635479259, 5.7055980455497535 45.17920290693139, 5.705492395172996 45.17920456722216, 5.705375249842352 45.17920560511878, 5.705378053857051 45.17936860803498, 5.706785438914954 45.18093996648301, 5.706825138223213 45.18162732571335, 5.706826674162731 45.18179035954242, 5.707502901103173 45.18178566929231))"
381850303,14.0,Vallier,Grenoble,"POLYGON ((5.715543943055831 45.180581249108116, 5.715457192862295 45.180264424143665, 5.715389208063288 45.18007147344067, 5.715338152611542 45.17993847435198, 5.715186038166314 45.17956107416633, 5.714947874499632 45.1789335018033, 5.71494008444524 45.178773322604485, 5.713936771455338 45.1787571830348, 5.713685803561668 45.17880923409995, 5.71153687359291 45.17912544347706, 5.7082594856158355 45.17934106645148, 5.7079297535968605 45.17939771855397, 5.70809288350416 45.17974062419726, 5.708605631323389 45.18075165529699, 5.7096812096231595 45.180917448061685, 5.710238109147776 45.18100032701997, 5.711244773213513 45.18113714625235, 5.711460247844534 45.18114092102356, 5.712175517777866 45.18112714520155, 5.713530634482894 45.181094206018564, 5.714004211186771 45.180930430586976, 5.715655208687805 45.18100919514702, 5.715543943055831 45.180581249108116))"
381850304,13.9,Jaurès-Vallier,Grenoble,"POLYGON ((5.715389208063288 45.18007147344067, 5.715457192862295 45.180264424143665, 5.715543943055831 45.180581249108116, 5.715655208687805 45.18100919514702, 5.715796625569711 45.18137604391641, 5.71664238194145 45.18139960695247, 5.716917619899387 45.181374888030206, 5.718419234684578 45.181472564701025, 5.718705129333137 45.18153587487676, 5.718760292768022 45.181334520246445, 5.718802601633629 45.1811046483415, 5.718823235499249 45.180874403498926, 5.718820792129385 45.18061498950743, 5.718792646370432 45.18019403073955, 5.718745757525737 45.17993750141833, 5.718726367885235 45.179879412043014, 5.718492377629482 45.17920759801291, 5.718417834023935 45.1792202251607, 5.716146757677215 45.17919894023177, 5.715680898776095 45.17878773249124, 5.71494008444524 45.178773322604485, 5.714947874499632 45.1789335018033, 5.715186038166314 45.17956107416633, 5.715338152611542 45.17993847435198, 5.715389208063288 45.18007147344067))"
381850305,13.4,Eaux Claires-Champs Elysees,Grenoble,"POLYGON ((5.705375249842352 45.17920560511878, 5.705492395172996 45.17920456722216, 5.7055980455497535 45.17920290693139, 5.705723355991342 45.17918635479259, 5.706525159073508 45.17903987968452, 5.7068532689669675 45.17897606350459, 5.707665681424384 45.178838332191866, 5.7079297535968605 45.17939771855397, 5.7082594856158355 45.17934106645148, 5.71153687359291 45.17912544347706, 5.713685803561668 45.17880923409995, 5.713936771455338 45.1787571830348, 5.713352113940765 45.1775262904097, 5.712952778504506 45.17670082129623, 5.711506214456327 45.176448576186466, 5.70955812836834 45.17654454321242, 5.709418649129498 45.17658396744288, 5.70898963873693 45.17669438720403, 5.708508985668148 45.17681687000444, 5.707914432987973 45.176954727718886, 5.705620686036408 45.17722568689489, 5.705286374684217 45.17737163584903, 5.705325360418632 45.1781761345506, 5.705368564535775 45.17896251227301, 5.705375249842352 45.17920560511878))"
381850306,13.9,Sidi-Brahim,Grenoble,"POLYGON ((5.717997288611317 45.1773853246937, 5.717752085850472 45.17671828778522, 5.717675018006673 45.17649582844491, 5.717160344368046 45.17497674919275, 5.717032756623204 45.17457983487881, 5.71683583307747 45.17393594704179, 5.716801007750705 45.1738485020403, 5.71638620279861 45.17396220896873, 5.7148576745956685 45.17427599661724, 5.714661175427026 45.17429519205932, 5.714552461668389 45.174312251769194, 5.714495647762409 45.174322643244224, 5.714364554866185 45.17437718594941, 5.714332219981397 45.174393288542156, 5.7142191133616445 45.1744509973672, 5.714274634167309 45.174597402205244, 5.714659514862533 45.17562322816556, 5.7149166890678815 45.17635394670156, 5.715161625174276 45.17712100058098, 5.714245443809375 45.17732437760073, 5.713352113940765 45.1775262904097, 5.713936771455338 45.1787571830348, 5.71494008444524 45.178773322604485, 5.715680898776095 45.17878773249124, 5.716146757677215 45.17919894023177, 5.718417834023935 45.1792202251607, 5.718492377629482 45.17920759801291, 5.718415478683145 45.17898873858539, 5.718184269718586 45.178164596108125, 5.718243631526015 45.17815414076641, 5.718172220365847 45.177917128639166, 5.717997288611317 45.1773853246937))"
381850307,12.9,Eaux Claires-Painlevé,Grenoble,"POLYGON ((5.705195514087685 45.175890885328634, 5.705277173516992 45.177181759776694, 5.705286374684217 45.17737163584903, 5.705620686036408 45.17722568689489, 5.707914432987973 45.176954727718886, 5.708508985668148 45.17681687000444, 5.70898963873693 45.17669438720403, 5.709418649129498 45.17658396744288, 5.709357339488124 45.17647554062097, 5.708960061246782 45.17576983475374, 5.7089082270458045 45.17567289001681, 5.708777504072608 45.17542019484393, 5.7086245607806845 45.17507704349277, 5.708562998560366 45.17493708942258, 5.708538488507031 45.17487822197885, 5.710137899128764 45.17297984052721, 5.710186827857269 45.17291198230406, 5.709140573658526 45.17255989198906, 5.708802630728889 45.17244646848332, 5.708746964977719 45.172427998967684, 5.708607513911593 45.17238903957204, 5.708472578158548 45.172364385515664, 5.708300922963552 45.172344226269246, 5.707928912993973 45.172342443082776, 5.707708645549056 45.17234418429246, 5.7072698628232565 45.17235753327585, 5.707109782047081 45.17236592159035, 5.706676567752465 45.17238904352219, 5.706333593158075 45.17240817337306, 5.705697216102555 45.17244432699864, 5.705163582644139 45.17247167971392, 5.705017408421127 45.172477926003715, 5.705022704064922 45.172666094641386, 5.705037373752362 45.17304773873619, 5.705057814579349 45.173495912739604, 5.705111119261045 45.17451719083684, 5.705195514087685 45.175890885328634))"
381850308,16.0,Houille Blanche,Grenoble,"POLYGON ((5.7149166890678815 45.17635394670156, 5.714659514862533 45.17562322816556, 5.714274634167309 45.174597402205244, 5.7142191133616445 45.1744509973672, 5.714112344749515 45.17403645594149, 5.713673627231844 45.17261011625609, 5.713605133058412 45.17240636621428, 5.71349914202139 45.172426962545785, 5.710328083130742 45.172935579907985, 5.710186827857269 45.17291198230406, 5.710137899128764 45.17297984052721, 5.708538488507031 45.17487822197885, 5.708562998560366 45.17493708942258, 5.7086245607806845 45.17507704349277, 5.708777504072608 45.17542019484393, 5.7089082270458045 45.17567289001681, 5.708960061246782 45.17576983475374, 5.709357339488124 45.17647554062097, 5.709418649129498 45.17658396744288, 5.70955812836834 45.17654454321242, 5.711506214456327 45.176448576186466, 5.712952778504506 45.17670082129623, 5.713352113940765 45.1775262904097, 5.714245443809375 45.17732437760073, 5.715161625174276 45.17712100058098, 5.7149166890678815 45.17635394670156))"
381850309,,Mistral,Grenoble,"POLYGON ((5.702201594384199 45.16790630138503, 5.702057749048874 45.167934110246684, 5.701813421903292 45.168043634778925, 5.701696411764155 45.168099623468514, 5.701607639873701 45.16818646124367, 5.701545451687855 45.16826995249757, 5.701499713871385 45.1683512435558, 5.701476743599714 45.168429280557, 5.701462939402912 45.168512501280595, 5.701472938360646 45.16864019273853, 5.701479507230252 45.16867066567694, 5.70152369489644 45.1688732084046, 5.701654067352065 45.169356559812186, 5.701727409879709 45.169608849304566, 5.701780877509057 45.169871530356815, 5.701870849874813 45.17036216650191, 5.701884010455595 45.17060780472242, 5.7019579811167524 45.172188967273726, 5.701974259620836 45.17255165249446, 5.702537182038223 45.172576761308754, 5.703893194862049 45.172540308801246, 5.704786300730125 45.172492537401936, 5.705017408421127 45.172477926003715, 5.705001482494516 45.172044057749446, 5.704993951237685 45.171704585002445, 5.704960403713993 45.170644088176175, 5.704930619366933 45.17005559402204, 5.70490113292541 45.16949952664274, 5.704826900252771 45.168230097234165, 5.7046563541120765 45.16778556239511, 5.704367843483699 45.16766642357617, 5.702201594384199 45.16790630138503))"
